iter	Passed	Remaining
0	145	144863
1	145	72832
2	146	48784
3	147	36771
4	148	29569
5	149	24764
6	150	21325
7	151	18737
8	152	16740
9	152	15130
10	153	13815
11	154	12729
12	155	11804
13	156	11009
14	157	10320
15	158	9717
16	158	9185
17	159	8709
18	160	8284
19	161	7899
20	162	7556
21	162	7242
22	163	6954
23	164	6691
24	165	6448
25	166	6222
26	166	6017
27	167	5828
28	168	5649
29	169	5483
30	170	5328
31	171	5180
32	172	5044
33	173	4917
34	173	4794
35	174	4677
36	175	4566
37	176	4463
38	177	4365
39	177	4271
40	178	4185
41	179	4099
42	180	4018
43	181	3939
44	182	3866
45	182	3794
46	183	3728
47	184	3662
48	185	3599
49	186	3538
50	187	3480
51	187	3424
52	188	3370
53	189	3320
54	190	3269
55	191	3222
56	191	3176
57	192	3131
58	193	3088
59	194	3046
60	195	3006
61	196	2966
62	196	2928
63	197	2892
64	198	2857
65	199	2822
66	200	2789
67	200	2751
68	201	2720
69	202	2690
70	203	2660
71	204	2630
72	204	2602
73	205	2576
74	206	2550
75	207	2523
76	208	2498
77	209	2474
78	210	2452
79	211	2429
80	212	2408
81	213	2386
82	214	2364
83	214	2342
84	215	2317
85	216	2297
86	216	2273
87	217	2253
88	218	2234
89	219	2216
90	220	2197
91	220	2180
92	221	2163
93	222	2147
94	223	2130
95	224	2114
96	225	2098
97	226	2082
98	226	2065
99	227	2050
100	228	2034
101	229	2016
102	229	2002
103	230	1987
104	231	1973
105	232	1959
106	233	1946
107	234	1933
108	234	1920
109	235	1908
110	236	1897
111	237	1886
112	238	1874
113	239	1863
114	240	1851
115	241	1838
116	242	1827
117	243	1816
118	243	1804
119	244	1794
120	245	1783
121	246	1772
122	246	1759
123	247	1749
124	248	1739
125	249	1731
126	250	1721
127	250	1709
128	251	1700
129	252	1691
130	253	1682
131	254	1673
132	255	1664
133	256	1656
134	257	1648
135	258	1639
136	258	1631
137	259	1622
138	260	1614
139	261	1605
140	262	1597
141	263	1589
142	263	1582
143	264	1574
144	265	1567
145	266	1559
146	267	1552
147	268	1545
148	269	1538
149	270	1532
150	271	1525
151	272	1519
152	273	1512
153	274	1505
154	275	1499
155	275	1492
156	276	1486
157	277	1479
158	278	1472
159	279	1466
160	280	1460
161	281	1455
162	282	1449
163	283	1443
164	284	1437
165	284	1431
166	285	1425
167	286	1419
168	287	1414
169	288	1408
170	289	1402
171	290	1397
172	291	1391
173	292	1386
174	292	1381
175	293	1376
176	294	1371
177	295	1366
178	296	1361
179	297	1356
180	298	1349
181	299	1344
182	300	1340
183	301	1335
184	302	1331
185	303	1326
186	303	1321
187	304	1316
188	305	1311
189	306	1306
190	307	1302
191	308	1297
192	309	1293
193	310	1288
194	311	1284
195	311	1279
196	312	1274
197	313	1270
198	314	1266
199	315	1261
200	316	1257
201	317	1253
